file,eng
data/results/6_cro_pped_15.jpg,Acetaminophen
data/results/6_cro_pped_16.jpg,Bitartrate and
data/results/6_cro_pped_17.jpg,
data/results/6_cro_pped_18.jpg,PRAR
data/results/7.jpg,o Noc as-3455 Ronly | evetiracetam &
data/results/7_cro_pped_12.jpg,Levetiracetam
data/results/7_cro_pped_13.jpg,Extended-Release
data/results/7_cro_pped_14.jpg,"Tablets, USP"
data/results/7_cro_pped_16.jpg,NDC 43547-345-06 Ronly
data/results/7_cro_pped_17.jpg,500 mg
data/results/7_cro_pped_18.jpg,Zheiiang Hushai Pharmaceutical Co_ Ltd.
data/results/8.jpg,"o Each fim-coated & TEENTERETa S Storage: Sioe 3120 0 T5°C TS USP Conales oo Temperatae] Ustal Dosage: See package niei fr compile Pharmacit: Dspense 113 53 3 Chid et Cosute KEEP THIS AND ALL WEDICINES OUTOF THE REACH OF CHILDREN. Nanfacued by China Resoutces Sake Praacaica Co_ 11l 003, Jgfr T Sveel Tonziou DT Bejng 101111, Ciea Wanfaciued or Scan Pramace s I BT Lancaser v #710, Greal Valey U TSUE PERTEIVANE 10355 Tcoaie wih"
data/results/8_cro_pped_11.jpg,"Tablets, USP"
data/results/8_cro_pped_13.jpg,"1,000 mg"
data/results/8_cro_pped_14.jpg,Levetiracetam
data/results/8_cro_pped_15.jpg,SECAN
data/results/8_cro_pped_16.jpg,"'« Each film-coated tablet contains 1,000 mg of NDC 4348912408 Reonly"
data/results/8_cro_pped_17.jpg,LR 13
data/results/8_cro_pped_18.jpg,"‘Mavem, Fennsylvania 19355"
data/results/9.jpg,e NUU&L(I FUHNULE AMELIOH == el .apmw e I o w =
data/results/9_cro_pped_10.jpg,Minute-Foam.
data/results/9_cro_pped_11.jpg,
data/results/9_cro_pped_12.jpg,'WARNINGS: DO NOT SWALLOW. Keep out of R A (A S R L
data/results/9_cro_pped_13.jpg,FRRH RS Sl R AT S LTI £ V' Shake vigorously befora each Appliguer ja mousse pendant 124 minutes. ke vigorously before each use TN AR e
data/results/9_cro_pped_14.jpg,acidlie avec pri oplmise Das et CORCErral o Sons ot s & 1.5 8
data/results/9_cro_pped_15.jpg,Tenir hors de Ia poriée des enfanis. £n g o R ok oS L
data/results/9_cro_pped_16.jpg,"CHNSE-WAIBT POIOXAEISFav L cocamidopropyl betaine, xylitol, sucra"
data/results/9_cro_pped_17.jpg,FRONT DISPLAY PANEL
data/results/9_cro_pped_18.jpg,"PERIAR BN WO L R Earth City, MO 63045"
data/results/a.jpg,
data/results/a_cro_pped_10.jpg,Ammonia Inhalants
data/results/a_cro_pped_11.jpg,D SO eI 10 Single Use Capsules
data/results/a_cro_pped_12.jpg,§ FIRST AID ONLY:
data/results/a_cro_pped_15.jpg,10 capsulas desechanbi€s
data/results/a_cro_pped_16.jpg,
data/results/a_cro_pped_17.jpg,inhaladores de amoniaco
data/results/b.jpg,rec ewew
data/results/b_cro_pped_10.jpg,s{Dr.Reckeweg
data/results/b_cro_pped_11.jpg,Abies Nigra 200
data/results/b_cro_pped_12.jpg,
data/results/b_cro_pped_13.jpg,A8 Original Product/Mfg. by:
data/results/b_cro_pped_14.jpg,2@ D-64625 Bensheim - Mo!
data/results/c.jpg,
data/results/c_cro_pped_11.jpg,
data/results/c_cro_pped_12.jpg,
data/results/c_cro_pped_13.jpg,"WU B WEEE 255 Webster, MA 01570"
data/results/c_cro_pped_14.jpg,AMMONIA
data/results/c_cro_pped_15.jpg,100 AMPULES
data/results/c_cro_pped_16.jpg,U1-24C
data/results/c_cro_pped_17.jpg,ITEM NO
data/results/d.jpg,ABIES NIGRA LIQUID DILUTION ABIES NIGKA SBL WORILD_C1 ASS HOMOECTF TH 1
data/results/d_cro_pped_11.jpg,SBL
data/results/d_cro_pped_12.jpg,ABIES NIGRA
data/results/d_cro_pped_13.jpg,
data/results/d_cro_pped_14.jpg,RUBOEOGVLRA Pyl pysheonn e b dh b
data/results/d_cro_pped_15.jpg,LIQUID DILUTION
data/results/d_cro_pped_16.jpg,| HARWAR 249403 (UTTARAKHARDI L O i pAlcasi S I
data/results/d_cro_pped_17.jpg,LIQUID DILUTION
data/results/d_cro_pped_18.jpg,HOMOEOPA
data/results/e.jpg,"Aopue "" HOMOEOPATHIC MEDICIRE S8 MOTHER &= TINCTURE| | Chehdomum MO § ii B N inde nlndin by - e VMM M. ROYCHOWDHURY & CO. 7)) \TOpoeU UV""?C\:'- ..... w5 /) Soropm Road, Bel gharia o ar s ifoloto~706-05F"
data/results/e_cro_pped_10.jpg,MOTHER
data/results/e_cro_pped_11.jpg,""" TINCTURE"
data/results/e_cro_pped_14.jpg,Chelidonium M.0 -
data/results/e_cro_pped_15.jpg,"7/1,Sarojini Road, Belgharia - RPN Sy o pa g g"
data/results/e_cro_pped_16.jpg,P (M M. ROYCHOWDHURY & CO.
data/results/e_cro_pped_17.jpg,""" HOMOEOPATHIC MEDICINE - ESHeesiss"
data/results/e_cro_pped_18.jpg,
data/results/f.jpg,
data/results/f_cro_pped_10.jpg,Ammonia Inha/an tory Stim/t ‘ A Respird . rnlv
data/results/f_cro_pped_11.jpg,espiratory Stymurart for Inhalatio” only W
data/results/f_cro_pped_12.jpg,"A Respirat "" st/mu/a”’ 1 inn O"
data/results/f_cro_pped_13.jpg,QLD SR e
data/results/f_cro_pped_14.jpg,
data/results/f_cro_pped_15.jpg,
data/results/f_cro_pped_16.jpg,Alcohol I9/0 A0/
data/results/f_cro_pped_17.jpg,Ammonia 12
data/results/f_cro_pped_18.jpg,~ Fach
data/results/g.jpg,
data/results/g_cro_pped_11.jpg,"o) l""ll"
data/results/g_cro_pped_13.jpg,
data/results/g_cro_pped_14.jpg,""" SNIFFLES & °"
data/results/g_cro_pped_15.jpg,
data/results/g_cro_pped_16.jpg,| ©des s Gttt |
data/results/g_cro_pped_17.jpg,
data/results/g_cro_pped_18.jpg,
data/results/h.jpg,
data/results/h_cro_pped_13.jpg,AsthmaCare.
data/results/h_cro_pped_15.jpg,safecare'
data/results/h_cro_pped_16.jpg,
data/results/h_cro_pped_17.jpg,L L
data/results/h_cro_pped_18.jpg,Tt ey
data/results/i.jpg,Fir Needle ADIES SIDIFICa Net 1/3fl. oz. (10 mL)
data/results/i_cro_pped_10.jpg,RISl
data/results/i_cro_pped_11.jpg,
data/results/i_cro_pped_12.jpg,Net 1/3 fl. oz. (10 mL)
data/results/i_cro_pped_13.jpg,FLAINL 1 O RAEG
data/results/i_cro_pped_14.jpg,ADIES SIDIrica
data/results/i_cro_pped_15.jpg,- when diluted
data/results/i_cro_pped_16.jpg,100% PURE ESSENTIAL OILS
data/results/j.jpg,o FIRST AID ONLY. iSRS (e
data/results/j_cro_pped_10.jpg,Ammonia
data/results/j_cro_pped_11.jpg,Inhalants
data/results/j_cro_pped_12.jpg,N_FIRST AID ONLY. SRR
data/results/j_cro_pped_13.jpg,Inhaladores de amoniaco
data/results/j_cro_pped_14.jpg,Use Capsules
data/results/j_cro_pped_15.jpg,100 Single
data/results/j_cro_pped_16.jpg,100 capsulas desechables
data/results/j_cro_pped_17.jpg,1[N
